taxonomic_level,name,ioc_species_count,authority_min,authority_max,authority_spread
genus,Abeillia,1,1,1,0
genus,Abroscopus,3,3,3,0
genus,Aburria,1,1,1,0
genus,Acanthagenys,1,1,1,0
genus,Acanthidops,1,1,1,0
genus,Acanthis,1,1,1,0
genus,Acanthisitta,1,1,1,0
genus,Acanthiza,14,14,14,0
genus,Acanthorhynchus,2,2,2,0
genus,Acanthornis,1,1,1,0
genus,Accipiter,9,6,9,3
genus,Aceros,1,1,1,0
genus,Achaetops,1,1,1,0
genus,Acridotheres,11,10,11,1
genus,Acritillas,1,1,1,0
genus,Acrobatornis,1,1,1,0
genus,Acrocephalus,42,42,42,0
genus,Acrochordopus,2,1,2,1
genus,Acropternis,1,1,1,0
genus,Acryllium,1,1,1,0
genus,Actenoides,6,6,6,0
genus,Actinodura,9,9,9,0
genus,Actitis,2,2,2,0
genus,Actophilornis,2,2,2,0
genus,Adelomyia,1,1,1,0
genus,Aechmophorus,2,2,2,0
genus,Aegithalos,9,7,9,2
genus,Aegithina,4,4,4,0
genus,Aegolius,5,5,5,0
genus,Aegotheles,10,9,10,1
genus,Aegypius,1,1,1,0
genus,Aenigmatolimnas,1,1,1,0
genus,Aepypodius,2,2,2,0
genus,Aerodramus,25,23,25,2
genus,Aeronautes,3,3,3,0
genus,Aerospiza,2,2,2,0
genus,Aethia,4,4,4,0
genus,Aethomyias,6,6,6,0
genus,Aethopyga,21,20,21,1
genus,Afropavo,1,1,1,0
genus,Afrotis,2,2,2,0
genus,Agamia,1,1,1,0
genus,Agapornis,9,9,9,0
genus,Agelaioides,2,1,2,1
genus,Agelaius,5,5,5,0
genus,Agelastes,2,2,2,0
genus,Agelasticus,3,3,3,0
genus,Aglaeactis,4,4,4,0
genus,Aglaiocercus,3,3,3,0
genus,Agraphospiza,1,1,1,0
genus,Agricola,2,2,2,0
genus,Agriornis,5,5,5,0
genus,Agropsar,2,2,2,0
genus,Ailuroedus,6,2,6,4
genus,Aimophila,3,3,3,0
genus,Aix,2,2,2,0
genus,Akialoa,4,4,4,0
genus,Akletos,2,2,2,0
genus,Alaemon,2,2,2,0
genus,Alauda,4,4,4,0
genus,Alaudala,5,4,5,1
genus,Alca,1,1,1,0
genus,Alcedo,8,7,8,1
genus,Alcippe,10,7,10,3
genus,Alcurus,1,1,1,0
genus,Aleadryas,1,1,1,0
genus,Alectoris,7,7,7,0
genus,Alectroenas,4,4,4,0
genus,Alectrurus,2,2,2,0
genus,Alectura,1,1,1,0
genus,Alethe,2,2,2,0
genus,Alipiopsitta,1,1,1,0
genus,Alisterus,3,3,3,0
genus,Alle,1,1,1,0
genus,Allenia,1,1,1,0
genus,Alophoixus,8,6,8,2
genus,Alopochelidon,1,1,1,0
genus,Alopochen,3,3,3,0
genus,Amadina,2,2,2,0
genus,Amalocichla,2,2,2,0
genus,Amandava,3,3,3,0
genus,Amaurolimnas,1,1,1,0
genus,Amaurornis,5,5,5,0
genus,Amaurospiza,4,1,4,3
genus,Amazilia,4,4,4,0
genus,Amazilis,1,1,1,0
genus,Amazona,32,30,32,2
genus,Amazonetta,1,1,1,0
genus,Amblycercus,1,1,1,0
genus,Amblyornis,5,4,5,1
genus,Amblyospiza,1,1,1,0
genus,Amblyramphus,1,1,1,0
genus,Amirafra,3,3,3,0
genus,Ammodramus,3,3,3,0
genus,Ammomanes,3,3,3,0
genus,Ammomanopsis,1,1,1,0
genus,Ammonastes,1,1,1,0
genus,Ammoperdix,2,2,2,0
genus,Ammospiza,4,4,4,0
genus,Ampeliceps,1,1,1,0
genus,Ampelioides,1,1,1,0
genus,Ampelion,2,2,2,0
genus,Ampelornis,1,1,1,0
genus,Amphispiza,1,1,1,0
genus,Amphispizopsis,1,1,1,0
genus,Amytornis,14,11,14,3
genus,Anabacerthia,5,5,5,0
genus,Anabathmis,3,3,3,0
genus,Anabazenops,2,2,2,0
genus,Anairetes,6,6,6,0
genus,Anaplectes,2,1,2,1
genus,Anarhynchus,24,22,24,2
genus,Anas,32,26,32,6
genus,Anastomus,2,2,2,0
genus,Ancistrops,1,1,1,0
genus,Andigena,4,4,4,0
genus,Androdon,1,1,1,0
genus,Andropadus,1,1,1,0
genus,Androphobus,1,1,1,0
genus,Anhima,1,1,1,0
genus,Anhinga,4,4,4,0
genus,Anisognathus,5,5,5,0
genus,Anodorhynchus,3,3,3,0
genus,Anomalospiza,1,1,1,0
genus,Anopetia,1,1,1,0
genus,Anorrhinus,3,3,3,0
genus,Anous,5,5,5,0
genus,Anser,11,10,11,1
genus,Anseranas,1,1,1,0
genus,Anthipes,2,2,2,0
genus,Anthobaphes,1,1,1,0
genus,Anthocephala,2,1,2,1
genus,Anthochaera,5,5,5,0
genus,Anthornis,2,2,2,0
genus,Anthoscopus,6,6,6,0
genus,Anthracoceros,5,5,5,0
genus,Anthracothorax,8,7,8,1
