model,taxonomic_level,familiarity,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
claude-haiku-4-5,genus,obscure,0.5388888888888889,0.15999592999593,0.5388888888888889,3.25,0.7341727716727716,12
claude-haiku-4-5,genus,well_known,4.138888888888889,0.29642415402770794,4.138888888888889,6.666666666666667,0.4878585344394168,12
claude-opus-4-8,genus,obscure,0.16111111111111107,0.07083129833129832,0.16111111111111107,2.3333333333333335,0.3220543345543346,12
claude-opus-4-8,genus,well_known,1.5277777777777777,0.12853941469750294,1.5277777777777777,10.0,0.6867516130383778,12
claude-sonnet-4-6,genus,obscure,0.31666666666666665,0.1293274318274318,0.31666666666666665,2.8333333333333335,0.5022283272283272,12
claude-sonnet-4-6,genus,well_known,3.091666666666667,0.25528193257359927,3.091666666666667,6.5,0.4024889496396849,12
gpt-4o,genus,obscure,0.2638888888888889,0.08335266585266586,0.2638888888888889,2.5,0.5248473748473749,12
gpt-4o,genus,well_known,2.566666666666667,0.23061755453605948,2.566666666666667,8.666666666666666,0.5619652882520529,12
gpt-4o-mini,genus,obscure,1.0222222222222224,0.22623524623524624,1.0222222222222224,2.75,0.7748473748473749,12
gpt-4o-mini,genus,well_known,1.1166666666666667,0.1138570470923412,1.1166666666666667,6.833333333333333,0.41598898106251053,12
