prompt_key,cell_id,model,taxonomic_level,familiarity,dispute_block,genus,family,order,ioc_count,authority_min,authority_max,authority_spread,ioc_genus,ioc_family,ioc_order,p10,p50,p90,interval_width,relative_interval_width,covers_authority_span,ioc_in_interval,confidence,crps,crps_relative,mean_pinball_loss,median_abs_error,median_abs_error_relative,signed_error_relative,latency_ms
family_accipitridae,accipiter_accipitridae,claude-haiku-4-5,family,,disputed,Accipiter,Accipitridae,Accipitriformes,254.0,241,254,13,9,254,263,220.0,240.0,260.0,40.0,0.15748031496062992,True,True,0.72,3.6666666666666665,0.014435695538057743,3.6666666666666665,14.0,0.05511811023622047,-0.05511811023622047,2849.183600046672
family_alcidae,fratercula_alcidae,claude-haiku-4-5,family,,undisputed,Fratercula,Alcidae,Charadriiformes,25.0,25,25,0,3,25,394,22.0,25.0,28.0,6.0,0.24,True,True,0.72,0.19999999999999998,0.008,0.19999999999999998,0.0,0.0,0.0,2515.591899980791
family_anatidae,anas_anatidae,claude-haiku-4-5,family,,disputed,Anas,Anatidae,Anseriformes,174.0,162,174,12,32,174,178,140.0,160.0,180.0,40.0,0.22988505747126436,True,True,0.72,3.6666666666666665,0.0210727969348659,3.6666666666666665,14.0,0.08045977011494253,-0.08045977011494253,2532.592699979432
family_columbidae,columba_columbidae,claude-haiku-4-5,family,,disputed,Columba,Columbidae,Columbiformes,352.0,316,352,36,34,352,352,300.0,330.0,360.0,60.0,0.17045454545454544,True,True,0.72,5.666666666666667,0.016098484848484848,5.666666666666667,22.0,0.0625,-0.0625,1658.2363999914378
family_corvidae,corvus_corvidae,claude-haiku-4-5,family,,disputed,Corvus,Corvidae,Passeriformes,138.0,123,138,15,50,138,6758,115.0,130.0,145.0,30.0,0.21739130434782608,True,True,0.72,2.3333333333333335,0.016908212560386476,2.3333333333333335,8.0,0.057971014492753624,-0.057971014492753624,1972.481600008905
family_falconidae,falco_falconidae,claude-haiku-4-5,family,,disputed,Falco,Falconidae,Falconiformes,65.0,64,65,1,39,65,65,60.0,67.0,75.0,15.0,0.23076923076923078,True,True,0.72,0.8333333333333334,0.012820512820512822,0.8333333333333334,2.0,0.03076923076923077,0.03076923076923077,2288.2158000720665
family_fringillidae,fringilla_fringillidae,claude-haiku-4-5,family,,disputed,Fringilla,Fringillidae,Passeriformes,238.0,220,238,18,8,238,6758,200.0,230.0,260.0,60.0,0.25210084033613445,True,True,0.65,3.3333333333333335,0.014005602240896359,3.3333333333333335,8.0,0.03361344537815126,-0.03361344537815126,1930.1314000040293
family_pittidae,pitta_pittidae,claude-haiku-4-5,family,,disputed,Pitta,Pittidae,Passeriformes,46.0,29,46,17,20,46,6758,28.0,32.0,36.0,8.0,0.17391304347826086,False,False,0.72,5.933333333333334,0.1289855072463768,5.933333333333334,14.0,0.30434782608695654,-0.30434782608695654,2461.5574999479577
family_psittacidae,amazona_psittacidae,claude-haiku-4-5,family,,disputed,Amazona,Psittacidae,Psittaciformes,181.0,167,181,14,32,181,409,330.0,370.0,410.0,80.0,0.4419889502762431,False,False,0.72,83.83333333333333,0.4631675874769797,83.83333333333333,189.0,1.0441988950276244,1.0441988950276244,1800.6469999672845
family_ramphastidae,ramphastos_ramphastidae,claude-haiku-4-5,family,,disputed,Ramphastos,Ramphastidae,Piciformes,38.0,34,38,4,8,38,444,35.0,42.0,50.0,15.0,0.39473684210526316,False,True,0.72,1.1666666666666665,0.030701754385964907,1.1666666666666665,4.0,0.10526315789473684,0.10526315789473684,2738.72849997133
