model,taxonomic_level,familiarity,crps,crps_relative,mean_pinball_loss,interval_width,relative_interval_width,n
claude-haiku-4-5,genus,obscure,0.5404761904761904,0.17285147392290248,0.5404761904761904,3.0,0.9031004709576138,14
claude-haiku-4-5,genus,well_known,3.7023809523809526,0.26734669551581314,3.7023809523809526,5.714285714285714,0.544652553329024,14
claude-opus-4-8,genus,obscure,0.16904761904761903,0.0822392290249433,0.16904761904761903,2.2142857142857144,0.4456567242281528,14
claude-opus-4-8,genus,well_known,1.3452380952380951,0.11781601037851039,1.3452380952380951,10.0,0.7218622513107807,14
claude-sonnet-4-6,genus,obscure,0.3071428571428571,0.1459711320425606,0.3071428571428571,2.4285714285714284,0.41262428048142336,14
claude-sonnet-4-6,genus,well_known,2.8023809523809526,0.23994734432234432,2.8023809523809526,5.142857142857143,0.30937544889750773,14
claude-sonnet-5,genus,obscure,0.1238095238095238,0.017291993720565148,0.1238095238095238,1.9285714285714286,0.34901883830455255,14
claude-sonnet-5,genus,well_known,2.3714285714285714,0.22030014035528742,2.3714285714285714,5.428571428571429,0.32396551569345683,14
gpt-4o,genus,obscure,0.24047619047619048,0.08692133263561834,0.24047619047619048,2.2142857142857144,0.5570120355834641,14
gpt-4o,genus,well_known,2.180952380952381,0.19930909436424146,2.180952380952381,6.857142857142857,0.5307916756446168,14
gpt-4o-mini,genus,obscure,0.95,0.25050933193790337,0.95,2.4285714285714284,0.8674515960230246,14
gpt-4o-mini,genus,well_known,1.1261904761904762,0.12236688692571045,1.1261904761904762,6.642857142857143,0.5343397615456439,14
